index,image_path,location,location_normalized,year,taluk_norm,locality_norm
51,F:\images\2020\Aminjikarai_Aminjikarai.png,Aminjikarai_Aminjikarai,aminjikarai aminjikarai,2020,aminjikarai,aminjikarai
52,F:\images\2021\Aminjikarai_Aminjikarai.png,Aminjikarai_Aminjikarai,aminjikarai aminjikarai,2021,aminjikarai,aminjikarai
53,F:\images\2022\Aminjikarai_Aminjikarai.png,Aminjikarai_Aminjikarai,aminjikarai aminjikarai,2022,aminjikarai,aminjikarai
54,F:\images\2024\Aminjikarai_Aminjikarai.png,Aminjikarai_Aminjikarai,aminjikarai aminjikarai,2024,aminjikarai,aminjikarai
55,F:\images\2014\Aminjikarai_Arumbakkam.png,Aminjikarai_Arumbakkam,aminjikarai arumbakkam,2014,aminjikarai,arumbakkam
56,F:\images\2020\Aminjikarai_Arumbakkam.png,Aminjikarai_Arumbakkam,aminjikarai arumbakkam,2020,aminjikarai,arumbakkam
57,F:\images\2021\Aminjikarai_Arumbakkam.png,Aminjikarai_Arumbakkam,aminjikarai arumbakkam,2021,aminjikarai,arumbakkam
58,F:\images\2022\Aminjikarai_Arumbakkam.png,Aminjikarai_Arumbakkam,aminjikarai arumbakkam,2022,aminjikarai,arumbakkam
59,F:\images\2024\Aminjikarai_Arumbakkam.png,Aminjikarai_Arumbakkam,aminjikarai arumbakkam,2024,aminjikarai,arumbakkam
60,F:\images\2014\Aminjikarai_Chinnakudal.png,Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2014,aminjikarai,chinnakudal
61,F:\images\2020\Aminjikarai_Chinnakudal.png,Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2020,aminjikarai,chinnakudal
62,F:\images\2021\Aminjikarai_Chinnakudal.png,Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2021,aminjikarai,chinnakudal
63,F:\images\2022\Aminjikarai_Chinnakudal.png,Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2022,aminjikarai,chinnakudal
64,F:\images\2024\Aminjikarai_Chinnakudal.png,Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2024,aminjikarai,chinnakudal
65,F:\images\2025\Aminjikarai_Chinnakudal.png,Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2025,aminjikarai,chinnakudal
66,F:\images\2014\Aminjikarai_Koyambedu.png,Aminjikarai_Koyambedu,aminjikarai koyambedu,2014,aminjikarai,koyambedu
67,F:\images\2020\Aminjikarai_Koyambedu.png,Aminjikarai_Koyambedu,aminjikarai koyambedu,2020,aminjikarai,koyambedu
68,F:\images\2021\Aminjikarai_Koyambedu.png,Aminjikarai_Koyambedu,aminjikarai koyambedu,2021,aminjikarai,koyambedu
69,F:\images\2022\Aminjikarai_Koyambedu.png,Aminjikarai_Koyambedu,aminjikarai koyambedu,2022,aminjikarai,koyambedu
70,F:\images\2024\Aminjikarai_Koyambedu.png,Aminjikarai_Koyambedu,aminjikarai koyambedu,2024,aminjikarai,koyambedu
71,F:\images\2014\Aminjikarai_Mullam.png,Aminjikarai_Mullam,aminjikarai mullam,2014,aminjikarai,mullam
72,F:\images\2020\Aminjikarai_Mullam.png,Aminjikarai_Mullam,aminjikarai mullam,2020,aminjikarai,mullam
73,F:\images\2021\Aminjikarai_Mullam.png,Aminjikarai_Mullam,aminjikarai mullam,2021,aminjikarai,mullam
74,F:\images\2022\Aminjikarai_Mullam.png,Aminjikarai_Mullam,aminjikarai mullam,2022,aminjikarai,mullam
75,F:\images\2024\Aminjikarai_Mullam.png,Aminjikarai_Mullam,aminjikarai mullam,2024,aminjikarai,mullam
76,F:\images\2025\Aminjikarai_Mullam.png,Aminjikarai_Mullam,aminjikarai mullam,2025,aminjikarai,mullam
77,F:\images\2014\Aminjikarai_Naduvankarai.png,Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2014,aminjikarai,naduvankarai
78,F:\images\2020\Aminjikarai_Naduvankarai.png,Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2020,aminjikarai,naduvankarai
79,F:\images\2021\Aminjikarai_Naduvankarai.png,Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2021,aminjikarai,naduvankarai
