location,location_normalized,year,image_path
Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2022,F:\images\2022\Aminjikarai_Chinnakudal.png
Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2024,F:\images\2024\Aminjikarai_Chinnakudal.png
Aminjikarai_Chinnakudal,aminjikarai chinnakudal,2025,F:\images\2025\Aminjikarai_Chinnakudal.png
Aminjikarai_Koyambedu,aminjikarai koyambedu,2014,F:\images\2014\Aminjikarai_Koyambedu.png
Aminjikarai_Koyambedu,aminjikarai koyambedu,2020,F:\images\2020\Aminjikarai_Koyambedu.png
Aminjikarai_Koyambedu,aminjikarai koyambedu,2021,F:\images\2021\Aminjikarai_Koyambedu.png
Aminjikarai_Koyambedu,aminjikarai koyambedu,2022,F:\images\2022\Aminjikarai_Koyambedu.png
Aminjikarai_Koyambedu,aminjikarai koyambedu,2024,F:\images\2024\Aminjikarai_Koyambedu.png
Aminjikarai_Mullam,aminjikarai mullam,2014,F:\images\2014\Aminjikarai_Mullam.png
Aminjikarai_Mullam,aminjikarai mullam,2020,F:\images\2020\Aminjikarai_Mullam.png
Aminjikarai_Mullam,aminjikarai mullam,2021,F:\images\2021\Aminjikarai_Mullam.png
Aminjikarai_Mullam,aminjikarai mullam,2022,F:\images\2022\Aminjikarai_Mullam.png
Aminjikarai_Mullam,aminjikarai mullam,2024,F:\images\2024\Aminjikarai_Mullam.png
Aminjikarai_Mullam,aminjikarai mullam,2025,F:\images\2025\Aminjikarai_Mullam.png
Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2014,F:\images\2014\Aminjikarai_Naduvankarai.png
Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2020,F:\images\2020\Aminjikarai_Naduvankarai.png
Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2021,F:\images\2021\Aminjikarai_Naduvankarai.png
Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2022,F:\images\2022\Aminjikarai_Naduvankarai.png
Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2024,F:\images\2024\Aminjikarai_Naduvankarai.png
Aminjikarai_Sencheri,aminjikarai sencheri,2014,F:\images\2014\Aminjikarai_Sencheri.png
Aminjikarai_Sencheri,aminjikarai sencheri,2020,F:\images\2020\Aminjikarai_Sencheri.png
